Date,RPi version,Round,Colony,RPi,Experiment,Treatment,Tube,Flipped_tube,Solution,Start,End,Change,Survival,Recording,Remained_escaped,Start_t,Stop_t,Model,Additional_notes,Exclude
11/05/2026,4,4,MY4,6,Amygdalin,5mM,R,L,5mM,3.4059,3.324,0.0819,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,7,Amygdalin,2.5mM,L,R,2.5mM,3.2721,3.1385,0.1336,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,7,Amygdalin,2.5mM,R,L,S,3.3301,3.1898,0.1403,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,8,Amygdalin,0.1mM,L,R,S,3.2876,3.0018,0.2858,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,8,Amygdalin,0.1mM,R,L,0.1mM,3.2597,3.1272,0.1325,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,9,Amygdalin,Control,L,R,S,3.3205,3.0734,0.2471,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,9,Amygdalin,Control,R,L,S,3.3774,3.1548,0.2226,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,10,Amygdalin,0.5mM,L,R,0.5mM,3.2881,3.0081,0.28,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,10,Amygdalin,0.5mM,R,L,S,3.3697,3.146,0.2237,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,5,5,MY1,11,Amygdalin,0.1mM,L,R,S,3.4519,3.2082,0.2437,1,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,11,Amygdalin,0.1mM,R,L,0.1mM,3.2012,2.965,0.2362,1,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,12,Amygdalin,2.5mM,L,R,2.5mM,3.2622,3.2,0.0622,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,12,Amygdalin,2.5mM,R,L,S,3.3137,3.2477,0.066,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,13,Amygdalin,0.5mM,L,R,0.5mM,3.2977,3.2366,0.0611,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,13,Amygdalin,0.5mM,R,L,S,3.3507,3.2636,0.0871,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,14,Amygdalin,Control,L,R,S,3.4856,3.4313,0.0543,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,14,Amygdalin,Control,R,L,S,3.3994,3.255,0.1444,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,15,Amygdalin,5mM,L,R,5mM,3.1497,3.1109,0.0388,1,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,15,Amygdalin,5mM,R,L,S,3.2689,2.9131,0.3558,1,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,16,Amygdalin,0.1mM,L,R,S,3.3083,3.2408,0.0675,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,16,Amygdalin,0.1mM,R,L,0.1mM,3.271,3.2197,0.0513,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,17,Amygdalin,2.5mM,L,R,S,3.2722,3.1844,0.0878,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,17,Amygdalin,2.5mM,R,L,2.5mM,3.3121,3.2393,0.0728,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,18,Amygdalin,Control,L,R,S,3.2926,3.238,0.0546,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,18,Amygdalin,Control,R,L,S,3.3538,3.271,0.0828,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,19,Amygdalin,0.5mM,L,R,S,NA,NA,NA,NA,0,NA,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,19,Amygdalin,0.5mM,R,L,0.5mM,NA,NA,NA,NA,0,NA,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,20,Amygdalin,5mM,L,R,5mM,3.2546,3.1599,0.0947,0,1,1,12:15,12:22,Old_YOLO,,
11/05/2026,5,5,MY1,20,Amygdalin,5mM,R,L,S,3.2744,3.2046,0.0698,0,1,1,12:15,12:22,Old_YOLO,,
12/05/2026,4,6,MY2,1,Amygdalin,Control,L,R,S,3.2244,3.1488,0.0756,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,1,Amygdalin,Control,R,L,S,3.3189,3.2382,0.0807,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,2,Amygdalin,0.1mM,L,R,S,3.3344,3.1732,0.1612,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,2,Amygdalin,0.1mM,R,L,0.1mM,3.2287,3.093,0.1357,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,3,Amygdalin,5mM,L,R,S,3.3695,3.3085,0.061,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,3,Amygdalin,5mM,R,L,5mM,3.3115,3.2352,0.0763,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,4,Amygdalin,2.5mM,L,R,2.5mM,3.2899,3.1053,0.1846,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,4,Amygdalin,2.5mM,R,L,S,3.302,3.0986,0.2034,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,5,Amygdalin,0.5mM,L,R,0.5mM,3.2585,3.165,0.0935,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,5,Amygdalin,0.5mM,R,L,S,3.297,3.0973,0.1997,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,6,Amygdalin,0.1mM,L,R,0.1mM,3.2071,3.045,0.1621,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,6,Amygdalin,0.1mM,R,L,S,3.4065,3.2412,0.1653,1,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,7,Amygdalin,0.5mM,L,R,S,3.4181,3.2336,0.1845,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,7,Amygdalin,0.5mM,R,L,0.5mM,3.1584,3.0717,0.0867,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,8,Amygdalin,Control,L,R,S,3.3675,3.2,0.1675,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,8,Amygdalin,Control,R,L,S,3.3205,3.2389,0.0816,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,9,Amygdalin,5mM,L,R,S,3.2633,3.2063,0.057,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,9,Amygdalin,5mM,R,L,5mM,3.3063,3.2319,0.0744,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,10,Amygdalin,2.5mM,L,R,S,3.257,3.1135,0.1435,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,4,6,MY2,10,Amygdalin,2.5mM,R,L,2.5mM,3.3756,3.2789,0.0967,0,1,1,12:22,12:25,Old_YOLO,,
12/05/2026,5,7,MY3,11,Amygdalin,Control,L,R,S,3.1952,3.1482,0.047,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,11,Amygdalin,Control,R,L,S,3.3875,3.3123,0.0752,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,12,Amygdalin,0.1mM,L,R,0.1mM,3.1272,3.0772,0.05,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,12,Amygdalin,0.1mM,R,L,S,3.3756,3.3438,0.0318,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,13,Amygdalin,2.5mM,L,R,S,3.3697,3.3122,0.0575,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,13,Amygdalin,2.5mM,R,L,2.5mM,3.2624,3.2114,0.051,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,14,Amygdalin,5mM,L,R,S,3.3982,3.3554,0.0428,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,14,Amygdalin,5mM,R,L,5mM,3.3619,3.3025,0.0594,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,15,Amygdalin,0.5mM,L,R,0.5mM,3.256,3.2111,0.0449,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,15,Amygdalin,0.5mM,R,L,S,3.349,3.3219,0.0271,0,1,1,14:05,14:06,Old_YOLO,,
12/05/2026,5,7,MY3,16,Amygdalin,2.5mM,L,R,S,3.298,3.236,0.062,0,1,1,14:05,14:06,Old_YOLO,,
